Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Underworld,15,9/19/03,Fantasy,English,"$22,000,000.00 ","$95,708,457.00 ",122
The Orphanage,R,10/11/07,Horror,Status,Original,"$78,638,987.00 ",105
Silent Hill,M18,6/15/06,Horror,English,"$50,000,000.00 ","$100,605,135.00 ",125
Security,R,8/4/17,Action,English,"$15,000,000.00 ",-,87
The Noel Diary,PG13,11/24/22,Romance,English,-,-,99
Sex and Lucía,R,8/24/01,Drama,el,Status,"$7,640,680.00 ",128
Red Sparrow,R,3/2/18,Mystery,English,"$69,000,000.00 ","$151,572,634.00 ",140
Alvin and the Chipmunks: The Road Chip,PG,12/24/15,Adventure,English,"$90,000,000.00 ","$233,755,553.00 ",92
22 vs. Earth,PG,4/30/21,Family,English,-,-,
Dual,R,4/15/22,Science Fiction,English,"$4,500,000.00 ",-,95
A Good Day to Die Hard,R,2/7/13,Action,English,"$92,000,000.00 ","$304,654,182.00 ",98
The Kissing Booth 2,M18,7/24/20,Comedy,English,-,-,132
Gonjiam: Haunted Asylum,15,3/28/18,Horror,Released,Language,"$21,041,950.00 ",94
The Matrix Revolutions,R,11/5/03,Adventure,English,"$150,000,000.00 ","$424,988,211.00 ",129
Murder Mystery,PG13,6/14/19,Comedy,English,"$24,000,000.00 ",-,97
Charm City Kings,R,1/27/20,Drama,English,-,-,125
The Theory of Everything,PG-13,11/26/14,Drama,English,"$15,000,000.00 ","$123,726,688.00 ",123
Cosmic Sin,R,3/12/21,Action,English,"$20,000,000.00 ","$349,757.00 ",88
One Piece 3D: Straw Hat Chase,PG-13,3/19/11,Animation,3D,Status,-,
The Mist,R,11/21/07,Horror,English,"$18,000,000.00 ","$57,470,220.00 ",126
ParaNorman,PG,8/30/12,Family,English,"$60,000,000.00 ","$107,139,399.00 ",90
Batman Forever,PG-13,8/9/95,Action,English,"$100,000,000.00 ","$336,529,144.00 ",121
Justice Society: World War II,PG-13,4/27/21,Animation,English,-,-,84
The Nutcracker and the Four Realms,PG,11/2/18,Fantasy,English,"$120,000,000.00 ","$59,522,646.00 ",99
To All the Boys: Always and Forever,NC16,2/12/21,Romance,English,-,-,115
Carrie,R,11/3/76,Horror,English,"$1,800,000.00 ","$33,800,000.00 ",98
Skyscraper,PG-13,7/13/18,Action,English,"$125,000,000.00 ","$292,351,275.00 ",102
Saw V,18A,10/23/08,Horror,English,"$10,800,000.00 ","$113,864,059.00 ",95
Emmanuelle 3,16,6/20/78,Drama,Status,Original,-,100
Barbie,,7/20/23,Comedy,Language,Budget,-,
Friday the 13th,R,2/13/09,Horror,English,"$19,000,000.00 ","$91,509,154.00 ",97
Dragon Ball: The Path to Power,PG,3/4/96,Animation,Status,Original,-,80
Superman,PG,12/14/78,Science Fiction,English,"$55,000,000.00 ","$300,218,018.00 ",143
Beauty Salon: Special Service 3,,4/29/19,Romance,특별한,3,-,84
The Man with the Iron Fists,R,11/2/12,Action,English,"$15,000,000.00 ","$20,546,518.00 ",96
Stuart Little,PG,12/17/99,Family,English,"$133,000,000.00 ","$300,135,367.00 ",84
Blood and Bone,R,9/15/09,Action,English,"$3,700,000.00 ",-,93
The Day After Tomorrow,PG-13,5/27/04,Action,English,"$125,000,000.00 ","$552,639,571.00 ",124
Special Forces,R,1/5/12,Action,Status,Original,"$3,424,648.00 ",109
The Irishman,M18,11/27/19,Crime,English,"$159,000,000.00 ","$968,853.00 ",209
The Town of Ghosts,,1/8/22,Thriller,Released,Language,-,
Mirreyes vs. Godínez 2: El retiro,B,7/21/22,Comedy,Spanish;,Budget,-,
Flight,R,2/21/13,Drama,English,"$31,000,000.00 ","$161,772,375.00 ",138
LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,NR,6/4/18,Animation,English,-,-,
Super 8,PG-13,6/9/11,Thriller,English,"$50,000,000.00 ","$260,095,986.00 ",112
Indiana Jones and the Dial of Destiny,12,6/29/23,Adventure,Language,Budget,-,
The Huntsman: Winter's War,PG-13,4/21/16,Action,English,"$115,000,000.00 ","$164,989,338.00 ",114
Malicious,VM14,3/29/73,Comedy,Released,Language,"$109,133.00 ",93
Bloodsport,R,2/26/88,Action,English,"$1,500,000.00 ","$65,000,000.00 ",92
Enola Holmes,PG13,9/23/20,Adventure,English,"$21,000,000.00 ",-,123
Russian Mom,19+,7/28/16,Drama,Status,Original,-,89
Flushed Away,U,11/2/06,Adventure,English,"$149,000,000.00 ","$178,120,010.00 ",84
Love Affair,청소년관람불가,10/30/14,Drama,Released,Language,-,91
Promare,PG-13,5/24/19,Animation,Released,Language,-,111
The Cabin in the Woods,R,4/19/12,Horror,English,"$30,000,000.00 ","$71,041,255.00 ",95
Ben-Hur,G,2/7/12,Action,English,"$15,000,000.00 ","$164,000,000.00 ",222
Thir13en Ghosts,R,3/8/02,Horror,English,"$42,000,000.00 ","$68,467,960.00 ",91
Inside Man,R,4/6/06,Crime,English,"$45,000,000.00 ","$186,003,591.00 ",129
Twelve Monkeys,NC-16,4/4/96,Science Fiction,English,"$29,000,000.00 ","$168,841,459.00 ",129
Tomorrowland,PG,5/20/15,Adventure,English,"$190,000,000.00 ","$209,154,322.00 ",130
Ivy + Bean: The Ghost That Had to Go,PG,9/2/22,Family,English,-,-,62
An American Werewolf in London,R,8/21/81,Horror,English,"$10,000,000.00 ","$31,973,249.00 ",97
Young Mother 2,19+,5/29/14,Drama,2,Released,-,89
The Voyeurs,M18,9/10/21,Thriller,English,-,-,117
The Sixth Sense,PG13,9/16/99,Mystery,English,"$40,000,000.00 ","$672,806,292.00 ",107
Fortress,R,12/17/21,Action,English,-,-,100
Barbie: Big City  Big Dreams,U,8/20/21,Animation,English,-,-,62
The Untouchables,R,6/3/87,Crime,English,"$25,000,000.00 ","$76,270,454.00 ",119
Justice League: Doom,PG-13,2/28/12,Action,English,-,-,77
Unbreakable,PG-13,11/22/00,Thriller,English,"$75,000,000.00 ","$248,118,121.00 ",106
Happy Halloween  Scooby-Doo!,APTA,10/6/20,Family,English,-,-,76
Barbie Fairytopia: Mermaidia,G,3/14/06,Animation,English,-,-,75
Rascal Does Not Dream of a Dreaming Girl,PG13,8/15/19,Animation,Released,Language,-,90
Spy Kids,PG,3/18/01,Action,English,"$35,000,000.00 ","$147,934,180.00 ",88
Quella provincia maliziosa,,1/1/75,Comedy,Italian,-,-,
Legally Blonde,PG-13,8/30/01,Comedy,English,"$18,000,000.00 ","$141,774,679.00 ",96
Sword Art Online: The Movie â€“ Ordinal Scale,PG-13,2/18/17,Animation,ã‚½ãƒ¼ãƒ‰ã‚¢ãƒ¼ãƒˆãƒ»ã‚ªãƒ³ãƒ©ã‚¤ãƒ³,Status,"$20,725,409.00 ",119
Rings,PG-13,2/3/17,Horror,English,"$25,000,000.00 ","$83,080,890.00 ",102
The Beasts,12,11/11/22,Thriller,Status,Original,-,137
Superman: Doomsday,PG-13,7/26/07,Action,English,"$3,500,000.00 ",-,75
Allowed,,11/23/22,Comedy,Status,Original,-,
Nightride,15,3/4/22,Thriller,English,-,-,97
Halo Legends,PG-13,2/16/10,Animation,Status,Original,"$11,000,000.00 ",
Sully,PG-13,9/9/16,Drama,English,"$60,000,000.00 ","$240,797,623.00 ",96
Immortals,R,11/11/11,Fantasy,English,"$75,000,000.00 ","$226,904,017.00 ",110
Armageddon Time,R,10/28/22,Drama,English,-,-,114
Nobody Sleeps in the Woods Tonight 2,R21,10/27/21,Horror,dziś,zaśnie,-,97
Dragon Ball Super: Broly,PG,12/14/18,Action,Status,Original,"$125,002,821.00 ",99
Deep Blue Sea 3,R,7/28/20,Action,English,"$5,000,000.00 ",-,100
The Fox and the Hound 2,G,12/12/06,Adventure,English,"$24,000,000.00 ",-,69
Murder on the Orient Express,PG,11/30/17,Drama,English,"$55,000,000.00 ","$352,794,081.00 ",114
Greyhound,PG13,7/10/20,War,English,"$50,300,000.00 ",-,91
Loving Adults,M18,8/26/22,Thriller,voksne,Released,-,106
The Red Thread,,5/19/16,Drama,rojo,Released,-,100
War Room,PG,8/28/15,Drama,English,"$3,000,000.00 ","$67,790,117.00 ",
Play Catch,,6/9/83,Comedy,Released,Language,-,95
Porno,R-18,7/27/13,Drama,Tagalog,-,-,88
Kubo and the Two Strings,PG,9/8/16,Animation,English,"$60,000,000.00 ","$76,249,438.00 ",102
Truth or Dare,PG-13,4/13/18,Thriller,English,"$3,500,000.00 ","$95,330,493.00 ",101
Liao Zhai - Home for the Intimate Ghosts,,1/1/91,Fantasy,Hua,yue,-,83
The Ridiculous 6,PG-13,12/11/15,Western,English,"$60,000,000.00 ",-,119
Spider-Man: All Roads Lead to No Way Home,NR,5/3/22,Documentary,English,-,-,
Kung Fu Hustle,R,12/20/04,Action,Released,Language,"$104,000,000.00 ",99
Kick-Ass,R,4/16/10,Action,English,"$28,000,000.00 ","$96,188,903.00 ",117
Clueless,12,10/20/95,Comedy,English,"$12,000,000.00 ","$56,631,572.00 ",97
Unfaithful,R,5/10/02,Thriller,English,"$50,000,000.00 ","$119,137,784.00 ",124
Tremors,PG-13,1/19/90,Horror,English,"$11,000,000.00 ","$48,572,000.00 ",96
Hole-in-law,19+,7/6/20,Romance,Released,Language,-,95
10.0 Earthquake,,10/15/14,Drama,English,-,-,88
Underdogs,U,7/18/13,Animation,Released,Language,"$34,061,097.00 ",106
High School Teacher: Maturing,,1/15/85,Drama,Released,Language,-,69
Water and Fire,,11/15/13,Drama,Ateş,Released,-,113
Return to the Blue Lagoon,PG-13,8/2/91,Adventure,English,"$11,000,000.00 ","$2,807,854.00 ",98
A View to a Kill,PG,5/24/85,Adventure,English,"$30,000,000.00 ","$152,427,960.00 ",131
Megan,,7/31/18,Action,English,"$50,000.00 ",-,
Charlie's Angels,PG13,11/14/19,Action,English,"$48,000,000.00 ","$73,279,888.00 ",118
Die Hard 2,R,7/3/90,Action,English,"$70,000,000.00 ","$240,031,094.00 ",124
The NeverEnding Story,6,4/5/84,Adventure,Geschichte,Released,"$20,158,808.00 ",102
Unknown,PG-13,2/18/11,Action,English,"$30,000,000.00 ","$130,786,397.00 ",113
Contact,PG,10/2/97,Drama,English,"$90,000,000.00 ","$171,120,329.00 ",150
Monster Family 2,PG,12/9/21,Animation,English,-,-,103
The French Dispatch,M18,12/9/21,Comedy,English,"$25,000,000.00 ","$46,000,000.00 ",108
Drag Me to Hell,PG-13,3/15/09,Horror,English,"$30,000,000.00 ","$90,810,892.00 ",99
Mulholland Drive,R,10/19/01,Thriller,English,"$15,000,000.00 ","$20,271,129.00 ",147
Scooby-Doo 2: Monsters Unleashed,PG,3/26/04,Mystery,English,"$80,000,000.00 ","$181,466,833.00 ",93
All Dogs Go to Heaven,G,11/17/89,Drama,English,"$13,800,000.00 ","$27,100,027.00 ",89
You Don't Mess with the Zohan,PG-13,6/6/08,Comedy,English,"$90,000,000.00 ","$204,313,400.00 ",113
Dark City,R,2/27/98,Mystery,English,"$27,000,000.00 ","$27,200,316.00 ",100
Million Dollar Baby,PG-13,2/17/05,Drama,English,"$30,000,000.00 ","$216,763,646.00 ",132
After Earth,PG-13,6/6/13,Science Fiction,English,"$130,000,000.00 ","$243,843,127.00 ",100
Paul Blart: Mall Cop 2,PG,4/17/15,Action,English,"$38,000,000.00 ","$107,597,242.00 ",94
The Last 10 Years,IIA,3/4/22,Drama,Released,Language,"$22,456,368.00 ",124
Nightbird,R-18,1/13/23,Thriller,Tagalog,-,-,97
Mission «Sky»,12+,11/18/21,Drama,Released,Language,-,110
Temptation of Aunt 2,19+,7/5/19,Drama,2,Released,-,72
Ex Machina,15,7/9/15,Drama,English,"$15,000,000.00 ","$36,869,414.00 ",108
Resident Evil: Damnation,R,9/25/12,Animation,Status,Original,"$2,325,035.00 ",100
Over the Moon,PG,10/23/20,Animation,English,-,-,100
Alpha,PG-13,8/17/18,Adventure,English,"$51,000,000.00 ","$35,808,437.00 ",97
Pretty Young Sister,19+,8/14/20,Drama,Status,Original,-,64
The Prestige,12,10/19/06,Drama,English,"$40,000,000.00 ","$109,676,311.00 ",130
Woody Woodpecker,L,10/5/17,Comedy,English,"$10,000,000.00 ",-,91
Sister's Younger Husband,19+,10/11/16,Comedy,Status,Original,-,75
Jackass Forever,R21 (edited),2/3/22,Comedy,English,"$10,000,000.00 ","$80,340,218.00 ",96
He's Just Not That Into You,PG-13,2/6/09,Comedy,English,"$40,000,000.00 ","$178,866,158.00 ",129
Joseph,6,4/16/95,Drama,English,-,-,178
The Cat Returns,G,7/19/02,Adventure,Released,Language,"$54,016,370.00 ",75
The Courier,PG13,10/21/21,Thriller,English,-,"$26,000,000.00 ",112
Sleepers,R,10/18/96,Crime,English,"$44,000,000.00 ","$165,615,285.00 ",147
The Amityville Horror,R,5/13/05,Horror,English,"$19,000,000.00 ","$108,047,131.00 ",90
A Nightmare on Elm Street Part 2: Freddy's Revenge,R,11/1/85,Horror,English,"$3,000,000.00 ","$30,000,000.00 ",87
The Mystery of Marilyn Monroe: The Unheard Tapes,NC16,4/27/22,Documentary,English,-,-,101
Ghost in the Shell,NR,11/18/95,Action,THE,Status,"$515,905.00 ",82
Young Aunt 3,19+,1/2/20,Romance,3,Released,-,78
Tentacles,,2/12/21,Horror,English,-,-,84
Passengers,PG-13,12/22/16,Drama,English,"$110,000,000.00 ","$303,144,152.00 ",116
Spies in Disguise,PG,12/25/19,Animation,English,"$100,000,000.00 ","$171,616,764.00 ",102
Tomorrow Never Dies,15,12/11/97,Adventure,English,"$110,000,000.00 ","$333,011,068.00 ",119
Zathura: A Space Adventure,PG,11/24/05,Science Fiction,English,"$65,000,000.00 ","$65,079,104.00 ",101
Sinister,NC-16,10/11/12,Horror,English,"$3,000,000.00 ","$82,515,113.00 ",110
The Many Saints of Newark,M18,11/11/21,Crime,English,-,"$11,620,603.00 ",
The Usual Suspects,R,8/16/95,Drama,English,"$6,000,000.00 ","$23,341,568.00 ",106
Cowboys & Aliens,PG-13,7/29/11,Action,English,"$163,000,000.00 ","$174,822,325.00 ",119
Cobra,R,5/23/86,Action,English,"$25,000,000.00 ","$49,042,224.00 ",87
Inside the Mind of a Cat,10,8/18/22,Documentary,English,-,-,67
The Hateful Eight,R,1/21/16,Drama,English,"$44,000,000.00 ","$155,760,117.00 ",188
Lulu,,4/1/14,Drama,Danish,-,-,
Hitman,R,11/29/07,Action,English,"$24,000,000.00 ","$99,965,753.00 ",89
Cyber Hell: Exposing an Internet Horror,18,5/18/22,Documentary,n번방을,Status,-,105
Tad the Lost Explorer and the Secret of King Midas,APTA,8/25/17,Animation,0.083333333,secreto,"$34,156,960.00 ",85
In the Mood for Love,PG,9/29/00,Drama,Released,Language,"$12,854,953.00 ",99
Airplane!,PG,7/2/80,Comedy,English,"$3,500,000.00 ","$83,453,539.00 ",88
The King's Avatar: For the Glory,PG,11/21/19,Animation,Released,Language,-,98
Gone with the Wind,G,12/15/39,Drama,English,"$4,000,000.00 ","$402,352,579.00 ",238
Little Women,PG,1/16/20,Drama,English,"$40,000,000.00 ","$216,601,214.00 ",135
Sinbad: Legend of the Seven Seas,PG,7/2/03,Family,English,"$60,000,000.00 ","$80,767,884.00 ",90
Project Almanac,PG-13,1/28/15,Science Fiction,English,"$12,000,000.00 ","$33,213,241.00 ",106
Brokeback Mountain,14A,9/10/05,Drama,English,"$14,000,000.00 ","$178,043,761.00 ",134
Deuce Bigalow: Male Gigolo,R,12/10/99,Comedy,English,"$17,000,000.00 ","$65,535,067.00 ",88
Planes,PG,9/5/13,Animation,English,"$50,000,000.00 ","$219,788,712.00 ",91
El Camino: A Breaking Bad Movie,M18,10/11/19,Crime,English,-,-,123
Sinkhole,12,8/26/21,Comedy,Released,Language,"$17,970,000.00 ",113
The Lego Batman Movie,7,2/9/17,Animation,English,"$80,000,000.00 ","$311,950,384.00 ",104
Sex Game 6969,19+,1/27/22,Comedy,Released,Language,-,74
Black Clover: Sword of the Wizard King,,3/31/23,Animation,Status,Production,-,
Project A: Part II,PG-13,8/19/87,Action,Released,Language,-,101
Underworld: Rise of the Lycans,M18,2/5/09,Fantasy,English,"$35,000,000.00 ","$92,158,961.00 ",92
Beautiful Teacher in Torture Hell,,12/14/85,Drama,Status,Original,-,67
What Women Want,PG-13,1/24/01,Comedy,English,"$70,000,000.00 ","$374,111,707.00 ",127
Baise-moi,18,6/28/00,Crime,French,-,"$940,944.00 ",77
Cherry Magic! THE MOVIE,12,4/8/22,Comedy,MOVIE,Status,-,104
Mission: Impossible II,PG-13,7/1/00,Adventure,English,"$125,000,000.00 ","$546,388,105.00 ",123
Mamma Mia!,PG,9/18/08,Comedy,English,"$52,000,000.00 ","$609,841,637.00 ",108
Erotic Ghost Story,III,5/19/90,Fantasy,Released,Language,-,88
Sulle nuvole,,4/26/22,Drama,Italian,-,-,
American Assassin,R,9/15/17,Action,English,"$33,000,000.00 ","$67,200,000.00 ",112
Love and Monsters,PG13,4/14/21,Comedy,English,"$30,000,000.00 ","$1,070,714.00 ",109
Once In The Desert,12+,2/17/22,War,пустыне,Released,-,121
Angel Guts: Red Porno,,12/25/81,Drama,Status,Original,-,67
Curious George: Cape Ahoy,U,9/30/21,Animation,English,-,-,88
Ip Man: The Awakening,,9/16/21,Action,Released,Language,-,80
¡Asu Mare! The friends,,2/9/23,Comedy,Los,Status,-,90
Noah,PG-13,3/27/14,Drama,English,"$125,000,000.00 ","$362,637,473.00 ",138
Lone Survivor,R,2/13/14,War,English,"$40,000,000.00 ","$149,295,601.00 ",121
RED,PG-13,11/11/10,Action,English,"$58,000,000.00 ","$199,000,000.00 ",111
Dragonflies,,9/16/22,Drama,Released,Language,-,103
Barbie: The Princess & The Popstar,G,9/30/12,Family,English,-,-,86
Annie,PG,12/19/14,Comedy,English,"$65,000,000.00 ","$133,821,816.00 ",119
The Dreamers,NC-17,9/1/03,Drama,English,"$15,000,000.00 ","$15,121,165.00 ",112
The Perks of Being a Wallflower,NC-16,10/25/12,Drama,English,"$13,000,000.00 ","$33,400,000.00 ",103
Survive,MA15+,10/1/22,Adventure,English,-,-,108
Flashback,R,12/10/21,Thriller,English,-,"$26,747.00 ",97
Platoon,R-16,3/18/87,Drama,English,"$6,000,000.00 ","$138,530,565.00 ",
America: The Motion Picture,M18,6/30/21,Animation,English,-,-,98
Abominable,PG,11/7/19,Family,English,"$75,000,000.00 ","$180,289,970.00 ",97
Frozen Fever,G,3/13/15,Animation,English,-,-,
Underwater,PG13,1/30/20,Action,English,"$50,000,000.00 ","$40,882,928.00 ",95
Max Steel,12,10/25/16,Action,English,"$10,000,000.00 ","$6,272,403.00 ",92
Breakfast at Tiffany's,NR,9/14/09,Comedy,English,"$2,500,000.00 ","$9,500,000.00 ",114
Army of Darkness,R,2/19/93,Fantasy,English,"$11,000,000.00 ","$21,502,976.00 ",81
The Lego Movie,PG,2/6/14,Animation,English,"$60,000,000.00 ","$469,160,692.00 ",100
True Lies,R,7/15/94,Action,English,"$115,000,000.00 ","$378,882,411.00 ",141
Tyler Perry's A Madea Homecoming,M18,2/25/22,Comedy,English,-,-,105
Evil Dead II,R,3/13/87,Horror,English,"$3,500,000.00 ","$10,900,000.00 ",84
Antz,PG,11/5/98,Adventure,English,"$60,000,000.00 ","$171,757,863.00 ",83
Come Play With Me,16+,2/25/21,Horror,Status,Original,"$1,753,826.00 ",80
Triangle,MA15+,4/29/10,Horror,English,"$12,000,000.00 ","$1,594,955.00 ",99
Paul,R,5/12/11,Adventure,English,"$40,000,000.00 ","$97,984,015.00 ",104
Skinamarink,NR,7/25/22,Horror,English,"$15,000.00 ","$1,800,000.00 ",100
Carsten & Gitte's Movie Madness,,6/3/08,Family,Gittes,Status,-,
I Know What You Did Last Summer,R,1/8/98,Horror,English,"$17,000,000.00 ","$125,586,134.00 ",101
The Social Network,NC-16,10/28/10,Drama,English,"$40,000,000.00 ","$224,920,315.00 ",121
Incendies,14A,9/17/10,Drama,French,"$6,800,000.00 ","$6,788,659.00 ",131
Level 16,16,3/15/19,Science Fiction,English,-,"$15,575.00 ",102
The Curse of Frankenstein,12,5/20/57,Horror,English,"$270,000.00 ","$8,000,000.00 ",83
Tarumama,14,7/29/21,Horror,Status,Original,-,90
Batman: The Long Halloween  Part One,PG-13,6/22/21,Animation,English,-,-,85
Men of Honor,R,11/16/00,Drama,English,"$32,000,000.00 ","$82,343,495.00 ",129
Rogue Hostage,NR,6/11/21,Action,English,-,-,94
Onward,PG,3/5/20,Family,English,"$200,000,000.00 ","$141,940,042.00 ",103
Dead Poets Society,PG,1/17/06,Drama,English,"$16,400,000.00 ","$235,860,116.00 ",128
Fireworks,PG-13,8/18/17,Animation,Released,Language,"$26,617,621.00 ",90
We're the Millers,R,9/5/13,Comedy,English,"$37,000,000.00 ","$269,994,119.00 ",110
Amélie,U,12/31/01,Comedy,Destin,Poulain,"$173,921,954.00 ",122
For My Country,,2/8/23,Drama,France,Released,-,113
Kate,M18,9/10/21,Action,English,-,-,106
Shadow in the Cloud,NC16,1/28/21,Horror,English,-,"$1,025,190.00 ",83
One Piece: Curse of the Sacred Sword,12,3/6/04,Animation,呪われた聖剣,Released,"$13,422,333.00 ",95
When Marnie Was There,G,7/19/14,Animation,Released,Language,"$34,949,567.00 ",103
Over the Sky,12,11/27/20,Animation,Released,Language,-,95
Goosebumps 2: Haunted Halloween,PG,10/12/18,Adventure,English,"$35,000,000.00 ","$93,320,380.00 ",90
Johnny English Reborn,PG,10/7/11,Crime,English,"$45,000,000.00 ","$160,078,586.00 ",101
The Thing,R,10/14/11,Horror,English,"$35,000,000.00 ","$31,505,287.00 ",103
Perfect Blue,R,7/25/97,Animation,Status,Original,"$112,536.00 ",81
Chaos Walking,PG13,3/11/21,Science Fiction,English,"$125,000,000.00 ","$26,943,020.00 ",109
Never Back Down 2: The Beatdown,R,9/13/11,Drama,English,"$3,000,000.00 ",-,99
Samson,PG-13,2/16/18,Action,English,-,"$4,873,825.00 ",110
No Game No Life: Zero,PG-13,7/15/17,Animation,Status,Original,"$6,000,000.00 ",106
Lilo & Stitch 2: Stitch Has a Glitch,PG,8/29/05,Animation,English,-,-,68
The Witch,R,2/19/16,Horror,English,"$3,500,000.00 ","$40,423,945.00 ",92
Barbie Presents: Thumbelina,G,2/24/09,Animation,English,-,-,75
Original Sin,R,8/3/01,Thriller,English,"$42,000,000.00 ","$35,402,320.00 ",118
Batman: The Long Halloween  Part Two,R,7/27/21,Animation,English,-,-,87
Beautiful Boy,R,10/25/18,Drama,English,"$25,000,000.00 ","$7,649,973.00 ",121
The Call of Sex,18,8/30/79,Thriller,del,Status,-,88
Barbie: A Fairy Secret,G,3/15/11,Animation,English,-,-,72
Stepmom,PG-13,12/25/98,Drama,English,"$50,000,000.00 ","$159,710,793.00 ",125
Chip and Potato: Chip's Holiday,L,6/27/22,Animation,English,-,-,
Mr. Peabody & Sherman,PG,3/13/14,Animation,English,"$145,000,000.00 ","$272,912,430.00 ",92
Till,PG-13,10/14/22,Drama,English,-,"$8,900,000.00 ",131
The Terminal,PG-13,9/2/04,Comedy,English,"$60,000,000.00 ","$219,417,255.00 ",128
Wonder London,,2/8/23,Family,English,-,-,
No Escape,R,8/27/15,Thriller,English,"$5,000,000.00 ","$54,418,872.00 ",103
Dragon Ball Z Side Story: Plan to Eradicate the Saiyans,,9/23/93,Action,Status,Original,-,
Conan the Barbarian,R,5/14/82,Adventure,English,"$20,000,000.00 ","$79,114,085.00 ",129
Storks,PG,9/23/16,Adventure,English,"$70,000,000.00 ","$182,379,278.00 ",87
Rock Dog 3: Battle the Beat,NR,1/24/23,Animation,English,-,-,90
Rock Dog 2: Rock Around the Park,PG,11/4/21,Animation,English,-,-,90
Justice League: The Flashpoint Paradox,PG-13,7/30/13,Science Fiction,English,"$3,500,000.00 ",-,75
Sex Stories,,1/1/99,Drama,sexo,Released,-,
Nightbooks,PG,9/15/21,Fantasy,English,-,-,103
American Gangster,R,1/10/08,Drama,English,"$100,000,000.00 ","$266,465,037.00 ",157
Inuyasha the Movie 4: Fire on the Mystic Island,PG-13,12/23/04,Fantasy,Status,Original,-,88
Kabaneri of the Iron Fortress: The Battle of Unato,NC16,9/13/19,Animation,Status,Original,-,82
King Arthur: Legend of the Sword,PG-13,5/12/17,Action,English,"$175,000,000.00 ","$148,675,066.00 ",126
Death Race: Beyond Anarchy,R,10/2/18,Action,English,-,-,111
The Cloverfield Paradox,NC16,2/4/18,Horror,English,"$45,000,000.00 ",-,102
Sex Doll,U,12/7/16,Drama,French,-,-,102
Halo: Nightfall,PG-13,2/5/14,Science Fiction,English,-,-,119
The Accountant,R,10/14/16,Crime,English,"$44,000,000.00 ","$155,160,045.00 ",128
Mom's Friend 2,19+,9/1/16,Romance,Status,Original,-,92
Knight and Day,PG-13,6/23/10,Action,English,"$117,000,000.00 ","$261,989,769.00 ",109
Smurfs: The Lost Village,PG,4/7/17,Family,English,"$60,000,000.00 ","$197,183,546.00 ",89
Cult of Chucky,R,10/3/17,Horror,English,"$6,500,000.00 ","$2,200,000.00 ",91
Twin Dragons,PG-13,1/15/92,Comedy,Released,Language,"$8,332,431.00 ",104
Naked Gun 33â…“: The Final Insult,PG-13,3/18/94,Comedy,English,"$30,000,000.00 ","$51,132,598.00 ",83
The Great Magic,,2/8/23,Comedy,Magie,Released,-,110
Ouija,PG-13,10/24/14,Horror,English,"$5,000,000.00 ","$103,590,271.00 ",89
Jonah Hex,PG-13,6/18/10,Action,English,"$47,000,000.00 ","$10,539,000.00 ",81
Birdman or (The Unexpected Virtue of Ignorance),M18,1/15/15,Drama,English,"$18,000,000.00 ","$103,215,094.00 ",
The Innocents,16+,9/3/21,Thriller,Status,Original,-,117
Dumb and Dumber To,PG-13,11/13/14,Comedy,English,"$40,000,000.00 ","$169,837,010.00 ",110
The Karate Kid,PG,6/22/84,Action,English,"$8,000,000.00 ","$130,442,786.00 ",126
Couples Retreat,PG-13,10/9/09,Comedy,English,"$70,000,000.00 ","$171,844,840.00 ",113
Sex Appeal,14,1/14/22,Comedy,English,-,-,90
Fantastic Mr. Fox,PG,11/13/09,Adventure,English,"$40,000,000.00 ","$46,471,023.00 ",87
That Malicious Age,12,3/11/75,Drama,maliziosa,Released,-,90
Horton Hears a Who!,G,3/3/08,Animation,English,"$85,000,000.00 ","$298,572,799.00 ",86
The Smurfs,PG,7/29/11,Animation,English,"$110,000,000.00 ","$563,749,323.00 ",103
The Rock,R,6/7/96,Action,English,"$75,000,000.00 ","$335,062,621.00 ",137
Mary Poppins,G,1/27/09,Comedy,English,"$6,000,000.00 ","$103,082,380.00 ",139
Step Up 2: The Streets,PG-13,2/14/08,Music,English,"$23,000,000.00 ","$150,816,700.00 ",98
The Hole in the Fence,,6/9/22,Drama,en,cerca,-,102
Bros,R,9/30/22,Comedy,English,"$22,000,000.00 ","$14,800,000.00 ",115
Blade: Trinity,NC-16,12/9/04,Action,English,"$65,000,000.00 ","$128,905,366.00 ",123
The Outwaters,NR,2/9/23,Horror,English,-,-,100
Godmothered,PG,12/4/20,Family,English,-,-,113
Night Watch,16+,6/27/04,Fantasy,Status,Original,"$50,336,279.00 ",114
Maid in Sweden,R,11/3/71,Drama,English,-,-,80
American Badger,NR,6/15/21,Action,English,-,-,88
The Hot Chick,PG-13,12/13/02,Comedy,English,-,"$54,639,553.00 ",104
Scooby-Doo! The Mystery Begins,PG,9/12/09,Mystery,English,-,-,82
